data,a,b,c,d,e,f
,6,16,44,45,89,90
,5,9,23,40,57,68
,4,15,25,39,45,79
,17,19,35,39,40,51
,2,3,10,15,31,61
,3,7,11,35,69,85
,15,18,35,55,64,88
,6,8,28,29,32,73
,22,35,36,44,74,75
,6,57,58,66,76,80
,7,19,27,54,64,78
,10,13,45,51,65,88
,9,24,56,68,80,86
,4,8,38,60,82,89
,6,8,49,60,72,74
,6,27,42,49,82,86
,1,19,23,50,74,77
,33,39,49,57,76,80
,17,21,40,55,64,79
,2,13,18,51,52,55
,5,24,28,41,51,73
,8,14,41,55,83,85
,8,22,28,36,74,85
,2,15,39,57,62,73
,2,7,16,26,34,80
,41,48,66,81,86,87
,3,17,43,54,75,79
,8,18,25,38,41,43
,25,28,29,54,74,88
,24,34,64,66,68,72
,24,37,64,81,84,90
,1,4,22,24,38,46
,3,8,13,28,50,61
,3,49,68,73,76,80
,7,8,33,39,48,84
,18,22,28,33,57,71
,3,15,49,65,70,72
,24,34,56,72,79,88
,7,22,33,48,86,87
,7,15,33,40,51,64
,11,14,17,35,43,70
,10,29,53,73,78,83
,9,12,20,55,69,81
,3,11,26,36,45,75
,13,22,31,54,55,87
,42,64,79,84,87,89
,20,48,57,65,71,90
,18,21,24,28,74,77
,19,36,44,46,51,89
,13,14,20,22,44,88
,37,40,70,71,75,80
,18,28,34,46,66,82
,4,18,41,52,79,82
,12,33,49,58,69,75
,12,23,29,48,52,78
,44,56,63,71,79,90
,5,25,44,54,65,70
,5,11,13,55,66,71
,15,25,58,61,83,86
,10,25,35,83,87,90
,14,20,35,45,48,66
,13,27,46,68,79,83
,3,33,63,71,78,79
,7,48,53,59,70,76
,24,35,38,61,70,86
,17,39,48,55,57,85
,17,42,62,67,77,79
,3,6,21,24,37,48
,5,31,57,66,81,85
,9,13,17,47,63,81
,13,30,60,67,84,86
,1,13,14,25,72,86
,3,15,23,40,51,60
,11,16,54,56,57,82
,48,59,65,69,84,90
,20,26,30,39,40,55
,12,14,23,36,72,87
,4,16,31,54,70,87
,25,28,34,44,57,80
,23,30,32,41,48,64
,1,12,21,36,40,84
,22,30,43,56,69,78
,24,40,53,60,63,68
,18,38,43,57,73,88
,15,23,35,38,69,89
,20,27,28,46,64,85
,52,59,63,72,75,87
,6,26,42,51,60,79
,20,23,42,70,80,90
,1,17,31,39,49,71
,9,46,54,64,69,72
,26,47,49,66,86,88
,3,5,51,55,82,83
,3,4,17,20,23,54
,57,66,68,70,74,86
,13,14,22,24,46,81
,8,27,29,38,64,82
,43,45,80,81,83,86
,54,58,72,73,82,86
,26,30,38,55,69,75
,30,31,33,44,77,89
,26,27,31,69,78,85
,25,55,60,69,77,81
,7,37,44,45,53,68
,11,13,27,47,82,84
,9,47,59,73,79,88
,25,39,74,76,85,88
,34,38,53,60,72,88
,3,22,29,54,75,84
,13,22,43,50,70,76
,11,18,27,37,65,72
,7,33,38,51,53,67
,1,2,8,30,42,43
,8,44,47,60,66,77
,5,6,18,34,42,72
,34,40,42,64,77,88
,20,58,65,70,77,86
,17,26,70,76,82,90
,3,6,44,60,84,86
,3,21,63,81,87,89
,4,35,41,66,77,89
,17,27,29,31,44,46
,1,7,22,72,79,82
,10,12,15,51,66,68
,26,28,55,61,62,85
,15,20,32,43,45,54
,8,10,15,42,48,51
,41,43,52,59,73,82
,7,8,10,29,40,52
,10,41,53,62,65,76
,16,20,29,31,38,45
,24,25,33,42,57,89
,1,4,14,30,78,82
,15,30,33,37,62,78
,13,25,45,70,78,88
,13,19,60,61,83,90
,16,33,60,61,62,63
,16,19,44,60,76,89
,27,35,41,46,49,86
,10,11,13,37,81,84
,1,4,12,14,66,78
,32,35,44,58,82,90
,16,21,59,70,71,83
,13,18,47,51,60,64
,8,23,30,53,69,78
,12,22,53,54,60,77
,22,42,52,55,62,74
,11,18,37,52,62,77
,19,22,46,49,72,85
,16,23,40,62,79,88
,14,19,20,26,79,82
,11,31,38,50,59,62
,1,4,32,35,36,87
,1,63,67,71,75,79
,5,32,39,50,59,77
,30,36,39,68,71,80
,19,22,44,61,66,75
,5,11,33,51,82,85
,1,16,25,33,54,71
,18,33,51,66,87,90
,20,68,70,71,72,81
,29,31,41,44,64,73
,5,42,51,66,69,74
,9,10,63,73,79,90
,10,13,21,31,48,72
,6,27,39,43,62,84
,2,8,43,48,60,67
,22,26,51,63,64,73
,8,22,36,48,53,55
,5,11,24,26,49,68
,11,29,56,62,68,76
,27,28,56,67,75,86
,5,11,40,45,58,75
,20,45,59,75,84,90
,21,22,34,55,56,74
,4,49,54,73,79,83
,2,12,19,25,31,76
,15,46,47,67,73,90
,16,21,27,43,56,64
,3,27,30,38,43,60
,22,36,65,72,82,86
,12,37,46,54,58,79
,5,35,49,52,65,89
,26,34,68,82,83,87
,18,24,46,47,69,70
,31,37,45,52,74,83
,21,22,25,53,76,85
,5,11,21,49,54,84
,3,4,5,47,55,80
,6,9,42,48,81,87
,45,49,63,67,82,90
,8,25,28,57,71,72
,4,25,30,40,41,62
,6,59,77,81,82,88
,3,8,16,64,72,73
,3,27,29,46,47,61
,3,9,14,55,62,83
,46,49,50,57,68,69
,2,11,17,33,79,87
,26,33,35,45,54,61
,16,21,51,64,65,89
,1,3,29,63,72,85
,7,10,24,31,81,84
,8,22,36,43,76,77
,10,22,27,34,56,85
,14,34,35,37,41,61
,4,6,8,14,21,28
,2,8,27,30,35,87
,8,23,39,52,75,81
,6,9,10,20,60,83
,52,58,61,62,65,69
,3,47,63,66,67,69
,14,24,33,41,53,82
,4,40,60,71,72,90
,15,29,30,68,79,85
,6,13,34,52,63,83
,12,46,52,55,65,90
,12,37,38,42,79,82
,4,18,24,49,66,81
,34,36,44,50,71,80
,4,5,21,26,42,79
,4,25,43,45,71,90
,42,44,45,47,72,79
,15,29,50,57,79,88
,8,19,27,43,51,79
,2,4,5,9,22,75
,14,37,48,50,65,66
,10,27,42,72,75,87
,5,6,28,61,77,87
,22,36,40,44,46,76
,8,12,14,66,76,88
,36,42,46,51,72,84
,36,55,59,81,82,89
,2,3,35,41,48,88
,23,29,42,44,59,82
,1,2,4,44,75,80
,50,51,57,59,64,74
,1,31,51,73,77,88
,25,45,63,71,74,88
,3,12,22,65,77,84
,4,19,31,51,56,57
,21,23,28,48,49,54
,7,17,44,63,64,88
,1,31,48,75,78,81
,14,28,40,52,54,83
,10,19,32,44,56,76
,2,10,30,43,56,83
,8,13,16,17,49,68
,3,11,28,29,68,88
,15,43,45,66,74,87
,2,20,32,51,53,83
,42,47,55,57,61,79
,21,40,76,77,83,84
,3,45,49,53,58,77
,16,39,65,67,83,86
,6,27,59,71,85,90
,11,49,53,65,77,89
,1,11,24,33,36,80
,7,39,45,47,55,80
,18,47,55,64,74,89
,8,10,20,40,80,85
,4,6,26,28,53,64
,10,33,34,44,70,79
,1,23,38,50,60,77
,1,20,21,27,44,75
,3,12,32,43,51,58
,21,35,39,54,62,85
,3,9,33,61,65,85
,11,30,55,76,77,90
,4,29,70,82,86,88
,11,22,35,65,78,81
,40,41,62,65,89,90
,19,25,31,56,82,90
,28,44,51,72,81,90
,1,30,60,70,74,77
,6,20,58,59,65,88
,40,55,64,65,70,85
,6,32,50,57,59,61
,1,8,21,30,81,86
,5,27,43,50,75,90
,16,22,36,40,62,75
,13,46,48,76,81,83
,1,6,43,46,61,83
,10,43,55,56,81,87
,5,7,68,71,75,85
,23,32,34,72,80,83
,28,45,60,63,74,86
,35,36,43,46,69,75
,13,17,19,21,69,73
,42,70,74,78,82,87
,12,16,21,25,27,64
,2,17,60,77,85,86
,1,29,37,67,74,81
,8,30,39,66,69,78
,10,28,53,64,76,79
,3,46,64,71,78,87
,3,21,33,45,47,85
,28,30,65,74,77,83
,11,19,43,75,81,87
,8,36,40,45,67,79
,36,38,54,56,75,85
,7,15,16,21,37,60
,3,6,12,20,69,83
,1,11,20,66,69,88
,2,3,64,69,73,82
,14,30,33,35,58,76
,32,38,55,58,66,85
,25,46,48,52,57,81
,23,33,78,79,87,88
,10,36,63,75,79,85
,7,8,13,17,38,43
,1,44,67,77,88,90
,13,19,32,39,44,61
,5,31,62,63,68,78
,1,16,17,31,42,70
,7,21,36,38,77,79
,17,39,40,75,76,88
,1,9,13,29,71,83
,59,66,69,72,73,80
,5,19,20,26,53,54
,1,14,17,47,61,66
,12,42,44,46,52,86
,29,32,39,43,66,73
,1,2,26,41,65,80
,2,10,35,67,77,90
,15,42,65,68,70,90
,6,15,45,47,69,70
,3,20,47,52,83,90
,4,24,30,61,66,69
,19,23,39,54,79,87
,8,24,52,73,84,86
,32,45,69,77,83,87
,14,42,53,68,83,89
,1,35,51,56,68,79
,27,33,44,56,63,85
,23,31,62,65,69,89
,21,30,33,45,62,70
,18,62,64,69,75,81
,43,56,61,62,73,81
,20,22,36,68,81,87
,8,38,47,63,71,84
,12,38,65,72,83,84
,16,24,51,55,59,66
,41,46,64,71,84,87
,21,29,50,55,67,73
,34,39,57,62,79,83
,30,37,41,62,65,68
,14,19,44,52,60,71
,16,24,37,38,69,78
,1,25,60,67,87,88
,11,27,45,53,55,58
,8,46,49,55,80,87
,4,23,25,30,34,57
,6,18,36,75,81,83
,19,48,49,56,60,88
,1,35,37,39,57,84
,5,6,9,51,62,66
,9,16,22,25,26,70
,9,31,32,47,70,89
,3,4,19,39,73,78
,15,23,59,65,78,82
,10,30,57,64,72,75
,7,17,30,56,68,80
,10,20,24,38,49,87
,4,52,68,79,85,86
,10,14,18,22,48,68
,2,23,46,48,55,63
,8,11,17,20,21,80
,8,23,48,49,61,62
,3,17,33,51,77,87
,3,20,21,43,69,70
,7,9,17,51,57,78
,18,37,49,71,76,78
,12,41,42,44,80,86
,7,21,58,65,72,77
,2,24,51,55,62,81
,11,17,20,36,57,72
,1,10,26,62,71,90
,3,6,7,30,67,89
,7,19,39,42,56,57
,22,39,54,63,68,73
,29,31,51,60,72,73
,11,31,44,64,83,89
,13,18,32,46,55,78
,16,29,38,62,72,84
,6,39,50,52,54,88
,1,2,33,62,68,79
,4,9,69,74,76,85
,18,28,40,63,68,86
,1,18,30,34,65,75
,2,51,55,57,61,82
,26,37,53,81,86,90
,2,22,28,39,61,79
,17,41,42,43,66,76
,6,19,30,53,55,76
,3,10,40,54,69,85
,33,37,48,65,83,84
,5,13,28,30,42,63
,9,12,28,71,82,85
,12,20,22,39,55,72
,25,31,43,61,63,86
,28,29,33,35,65,80
,6,10,13,17,22,46
,3,14,30,50,66,87
,29,31,35,49,69,74
,6,13,19,37,67,72
,12,26,70,74,84,87
,16,38,40,69,84,90
,20,39,56,64,66,85
,16,30,68,75,83,86
,17,23,30,74,81,84
,23,25,30,44,51,68
,8,9,52,77,82,86
,12,50,55,62,67,88
,4,15,21,35,59,73
,10,23,31,35,61,87
,7,18,19,56,66,71
,18,28,33,41,63,84
,15,17,25,31,85,87
,1,23,30,60,70,74
,7,14,26,34,45,77
,18,33,61,70,81,90
,22,28,75,78,83,87
,30,32,49,68,71,85
,2,3,13,23,30,70
,8,16,33,64,68,82
,4,18,30,69,73,74
,16,17,52,60,80,81
,2,18,35,53,60,66
,27,43,46,51,52,72
,11,13,25,62,76,80
,2,11,40,60,73,82
,2,5,6,56,58,73
,23,30,33,67,69,71
,12,32,54,63,64,85
,1,16,32,51,60,61
,4,12,21,39,59,83
,41,51,61,66,75,88
,50,61,62,71,72,74
,7,32,49,55,61,83
,27,36,38,41,71,84
,5,37,38,59,71,80
,30,37,47,72,85,87
,8,36,75,76,79,83
,11,34,46,58,77,82
,1,17,33,34,46,62
,5,9,53,57,61,84
,9,37,40,61,69,84
,29,51,52,62,72,79
,12,21,49,51,56,74
,34,54,72,76,79,85
,5,34,55,58,74,90
,2,25,28,31,46,59
,8,14,36,71,74,87
,22,29,30,32,41,52
,18,54,62,80,88,90
,36,43,47,49,84,89
,56,64,72,81,83,86
,28,33,42,54,76,79
,36,38,40,51,53,71
,8,38,39,52,64,70
,7,71,72,75,80,90
,8,29,33,47,52,56
,1,4,25,44,82,89
,28,33,39,40,80,89
,7,31,38,57,84,87
,8,53,65,66,80,87
,40,42,57,62,67,88
,22,63,66,73,81,90
,6,16,28,32,43,90
,7,10,50,51,80,85
,7,30,40,58,75,79
,8,16,39,63,84,86
,2,26,30,32,63,89
,13,22,40,41,51,86
,10,26,53,66,70,78
,4,62,67,69,70,84
,10,15,17,57,65,80
,3,6,20,46,50,80
,8,11,14,39,46,51
,18,31,47,59,75,80
,8,16,42,64,72,74
,13,25,54,56,57,58
,4,12,35,61,66,84
,6,19,25,42,48,52
,1,38,54,63,66,74
,19,32,41,42,64,65
,9,69,70,72,77,81
,1,26,49,74,82,87
,11,22,39,52,55,63
,16,26,31,67,74,82
,21,40,57,60,61,68
,8,28,34,63,86,90
,4,33,34,44,52,63
,35,49,56,78,87,90
,15,17,25,39,57,58
,6,44,66,68,77,86
,14,28,37,47,53,57
,20,67,71,81,84,88
,35,49,68,71,82,85
,1,30,36,37,60,88
,19,30,52,66,70,82
,2,11,21,23,39,47
,12,24,26,50,65,69
,8,19,30,32,52,75
,7,10,35,64,77,89
,5,7,13,33,66,79
,2,4,11,37,62,75
,21,31,37,64,75,88
,7,23,28,50,80,87
,18,19,36,39,58,88
,24,26,33,36,38,73
,6,29,30,78,81,88
,1,6,11,27,65,80
,2,22,33,42,52,71
,1,3,20,43,51,78
,27,31,35,53,54,78
,28,38,41,58,67,80
,21,30,32,41,47,67
,15,18,21,57,59,61
,7,12,36,73,77,85
,8,22,31,39,58,63
,25,51,53,72,77,81
,3,16,20,55,60,80
,5,34,43,53,71,78
,2,41,59,68,74,86
,31,58,80,81,88,89
,16,21,24,60,66,79
,4,19,20,24,44,55
,7,9,35,61,67,68
,11,14,43,46,61,70
,1,20,22,23,61,82
,8,25,33,48,58,90
,4,47,76,78,81,86
,7,20,21,74,75,81
,13,16,28,32,71,85
,5,9,50,80,82,88
,2,25,26,41,55,75
,16,21,33,42,52,66
,6,28,32,39,57,85
,24,26,31,39,49,81
,3,31,33,37,52,54
,6,10,22,48,61,65
,15,17,24,31,80,86
,5,7,13,40,52,84
,3,4,7,44,52,89
,25,39,43,46,59,67
,7,30,45,50,55,74
,19,48,61,73,81,83
,27,28,46,48,52,70
,2,3,22,46,61,80
,8,9,17,33,80,86
,17,44,49,60,66,81
,30,46,54,56,72,86
,1,38,47,50,58,65
,40,60,68,72,84,89
,28,32,45,61,63,76
,17,20,48,62,85,90
,9,26,29,31,58,70
,12,14,29,48,49,85
,30,45,66,69,75,80
,17,32,33,50,61,82
,8,25,31,65,87,90
,23,32,38,40,51,71
,16,19,29,34,48,64
,17,24,25,40,58,64
,14,31,35,40,50,66
,14,23,24,41,71,73
,2,15,35,54,60,78
,9,14,21,55,66,90
,8,15,24,25,44,55
,13,17,25,55,64,85
,19,35,49,52,75,79
,1,2,40,52,67,82
,2,4,13,23,28,68
,20,31,44,51,65,74
,27,32,55,65,76,86
,1,3,8,38,83,88
,11,13,17,49,51,61
,7,18,27,33,35,43
,8,23,58,61,76,79
,11,18,47,80,89,90
,3,24,31,32,61,85
,7,32,43,50,68,73
,17,20,63,78,82,85
,28,30,32,33,34,52
,6,39,40,41,50,54
,33,38,47,67,68,81
,10,19,25,35,51,73
,6,26,56,65,69,82
,20,39,42,45,74,77
,29,36,37,40,70,75
,4,14,45,53,77,84
,33,57,63,65,78,88
,2,10,19,36,78,90
,10,15,46,51,65,75
,3,38,44,50,53,70
,1,39,40,52,54,64
,4,39,43,59,74,90
,1,9,11,21,36,47
,13,21,70,71,72,85
,1,10,55,61,72,77
,2,4,16,20,29,53
,3,12,16,30,84,89
,2,3,4,27,34,42
,3,37,54,65,87,89
,2,23,36,62,75,79
,6,34,59,61,83,90
,2,5,20,43,64,83
,3,9,17,38,54,62
,20,46,48,62,71,86
,19,22,26,59,61,71
,24,29,40,71,74,78
,7,40,54,64,69,71
,11,12,32,55,72,87
,28,64,65,77,85,89
,2,25,31,38,45,84
,7,12,19,43,71,77
,31,43,67,69,76,80
,9,11,40,48,68,84
,4,9,22,23,47,73
,1,22,41,69,73,89
,39,50,55,57,78,82
,36,55,62,66,81,85
,11,14,17,24,39,48
,9,25,29,43,48,54
,6,33,35,64,66,77
,5,27,37,63,67,77
,1,13,17,31,58,62
,32,33,37,43,44,79
,7,57,60,67,69,90
,8,14,16,18,56,60
,14,17,39,47,58,85
,4,10,24,59,72,83
,8,19,25,73,76,84
,6,14,39,47,63,82
,15,27,31,52,74,77
,1,7,38,58,62,78
,2,3,37,38,58,59
,23,36,38,52,62,63
,29,56,66,77,88,89
,12,19,24,51,56,78
,12,13,38,46,47,72
,6,35,53,67,75,89
,41,44,55,56,68,79
,7,29,57,60,79,87
,8,21,32,33,60,69
,33,35,47,51,62,89
,6,35,38,48,58,76
,4,32,34,56,61,82
,27,32,40,49,75,82
,9,12,60,69,72,89
,7,35,36,41,45,88
,1,21,29,40,63,70
,2,68,77,81,83,84
,17,21,23,31,33,37
,4,8,51,72,74,88
,40,41,49,56,61,63
,24,51,58,61,74,77
,26,29,40,50,54,72
,11,29,56,63,88,90
,4,10,27,28,34,57
,2,19,43,49,77,82
,2,16,38,67,70,84
,10,11,27,45,79,88
,4,5,22,48,53,86
,15,20,36,69,74,87
,15,19,26,34,67,69
,12,14,19,38,41,45
,18,54,56,58,62,66
,15,31,39,49,64,85
,6,13,41,71,75,86
,17,39,41,47,77,83
,5,21,26,45,47,49
,26,60,61,72,85,88
,19,32,34,63,74,89
,4,8,20,21,44,80
,17,40,50,73,74,82
,5,9,25,30,76,81
,34,69,70,73,82,90
,10,22,24,45,67,76
,4,19,34,52,68,77
,28,38,59,60,71,83
,23,24,49,69,70,72
,1,12,17,65,70,90
,9,33,34,52,82,83
,5,11,40,43,56,82
,3,29,51,55,73,81
,8,24,45,47,72,84
,41,47,49,55,77,90
,29,33,34,64,65,87
,6,26,37,38,55,73
,38,43,44,45,63,77
,29,37,42,52,54,59
,13,16,41,49,58,76
,22,35,44,66,71,88
,12,20,28,57,74,85
,9,11,70,74,75,84
,24,32,56,59,76,81
,37,43,49,66,73,88
,15,27,31,40,63,82
,16,25,28,30,39,51
,1,35,42,55,57,62
,36,37,50,57,73,83
,19,47,69,71,86,87
,26,31,32,50,61,77
,3,42,52,67,78,86
,21,25,36,51,82,90
,19,30,34,49,54,74
,20,63,66,74,75,77
,9,30,50,57,62,70
,33,36,39,50,65,70
,10,16,40,55,66,77
,1,4,48,53,61,85
,1,23,32,53,66,83
,9,15,17,34,73,83
,6,13,17,52,64,82
,5,25,37,52,62,79
,34,36,61,62,78,88
,11,16,21,62,70,84
,40,41,45,51,52,79
,10,23,47,63,70,81
,44,48,49,68,86,87
,13,24,26,34,76,77
,1,30,32,45,69,83
,26,27,39,55,59,63
,4,24,47,66,74,77
,14,18,32,33,46,88
,5,18,55,59,65,74
,11,21,53,62,63,68
,2,23,24,70,81,90
,6,15,18,23,53,62
,21,23,25,27,36,84
,4,17,52,55,56,67
,8,26,32,40,62,88
,11,25,36,49,53,85
,24,40,43,51,53,88
,20,22,24,40,51,80
,4,19,32,58,73,87
,1,14,26,49,71,89
,46,48,63,68,83,85
,7,34,49,51,58,86
,19,26,63,67,68,83
,12,30,35,44,49,62
,1,64,67,68,79,90
,13,43,47,55,67,70
,4,5,18,35,40,90
,17,24,34,48,61,87
,16,21,30,35,57,78
,26,28,48,52,55,90
,7,8,25,46,65,78
,8,9,11,14,79,90
,6,15,21,27,49,85
,4,5,29,58,71,84
,4,18,26,47,61,80
,20,29,44,54,64,69
,6,50,67,69,77,88
,44,45,58,65,66,85
,8,30,64,69,80,88
,23,25,37,38,50,86
,2,16,19,47,49,57
,1,30,67,68,71,80
,7,29,36,50,56,75
,6,31,58,64,74,82
,33,42,46,55,69,90
,34,37,38,39,59,90
,30,54,66,67,76,90
,4,14,40,41,54,79
,6,25,29,44,68,74
,6,7,45,46,67,85
,4,26,28,59,61,68
,31,38,49,54,62,76
,19,33,45,55,82,84
,5,15,23,39,43,49
,2,4,25,34,61,66
,18,26,45,67,70,90
,13,28,39,45,68,81
,19,29,37,46,64,75
,22,32,34,70,78,90
,50,55,57,62,78,83
,19,38,48,54,71,84
,31,32,57,59,78,79
,6,34,43,60,71,73
,9,39,49,64,65,72
,22,68,75,83,85,89
,3,15,46,67,75,78
,30,38,46,47,62,67
,1,6,13,24,46,89
,24,33,54,69,79,86
,16,19,48,51,65,85
,16,27,43,46,62,85
,48,54,64,75,79,87
,20,46,50,52,69,86
,3,8,10,22,32,50
,9,19,54,73,83,90
,12,18,49,51,66,69
,9,28,33,38,50,55
,1,13,18,41,68,84
,1,14,38,77,80,89
,14,18,48,52,64,75
,9,34,57,72,84,88
,23,25,43,50,51,61
,10,25,34,79,85,86
,9,20,33,48,55,84
,4,5,11,15,20,46
,1,9,32,56,71,79
,19,33,45,50,54,86
,30,37,41,45,47,57
,37,47,51,54,78,82
,37,47,69,75,86,88
,6,7,11,19,34,49
,14,15,16,27,56,57
,8,38,48,66,70,86
,11,17,47,57,79,86
,1,7,19,65,67,74
,1,10,17,31,58,80
,2,40,47,54,66,83
,6,10,69,78,83,86
,4,19,52,67,82,90
,9,17,37,51,70,78
,14,59,64,75,80,83
,50,53,66,69,70,90
,13,28,36,45,59,65
,6,11,13,48,72,77
,10,21,35,40,63,79
,18,30,40,64,88,89
,13,54,56,67,82,90
,3,7,48,67,87,90
,8,26,32,44,82,86
,10,16,36,70,71,73
,6,29,54,62,72,80
,5,49,71,83,85,88
,4,23,24,35,77,79
,46,49,61,69,74,82
,25,32,64,74,85,90
,13,16,45,58,63,72
,18,20,46,54,57,65
,6,24,55,67,70,75
,9,16,31,43,49,83
,17,38,42,50,68,86
,19,22,49,65,70,87
,24,30,42,54,84,85
,18,23,31,38,47,51
,9,15,19,38,48,77
,16,31,41,61,65,77
,31,49,54,57,80,88
,3,13,33,42,56,85
,12,26,46,69,72,87
,30,32,49,53,72,84
,16,29,32,53,61,72
,4,26,40,54,55,67
,31,39,53,56,68,90
,1,10,47,50,52,74
,13,35,41,44,59,79
,23,37,41,51,62,74
,28,49,50,54,66,68
,2,34,45,47,54,74
,26,38,40,66,76,81
,23,32,33,47,63,81
,5,7,46,65,73,82
,46,54,65,70,82,85
,5,14,48,52,57,90
,21,38,41,43,52,77
,19,20,32,64,87,89
,10,35,39,57,61,75
,16,20,36,39,42,51
,27,31,45,61,74,79
,12,32,54,60,89,90
,3,17,35,52,69,83
,3,17,48,76,77,90
,9,15,27,54,76,86
,30,38,52,63,74,89
,8,9,19,48,51,81
,5,12,16,44,71,75
,4,39,62,67,69,78
,1,4,21,56,69,75
,5,29,35,39,41,45
,4,7,12,20,74,89
,1,12,21,31,39,49
,14,25,44,54,78,89
,26,68,73,75,76,86
,12,13,31,69,71,77
,15,17,34,59,83,86
,5,8,37,77,79,90
,10,50,55,61,87,90
,4,23,35,54,72,88
,6,8,15,52,67,86
,3,12,13,15,43,46
,1,11,27,45,49,61
,11,35,58,64,68,72
,22,30,43,62,70,71
